,Naam,description,direction,heading,hectometer,main_road,secondary_road,type,lat,lng
0,BD 121,,,0.0,,,,0,52.391623,4.840175
1,BD 124,,,0.0,,,,0,52.387878,4.84458
2,BD 125,,,0.0,,,,0,52.38473,4.840807
3,D00,drip,Re,180.0,10.0,A10,,0,52.359735,4.96777
4,D01,drip,Li,45.0,12.0,A10,,0,52.342134,4.954613
5,D05,,Re,225.0,14.0,A10,,0,52.333556,4.931955
6,D06,,Li,135.0,17.0,A10,,0,52.333877,4.895508
7,D07,,Re,270.0,20.0,A10,,0,52.338797,4.85877
8,D08,,Li,180.0,23.0,A10,,0,52.355692,4.842393
9,D09,,Li,315.0,1.0,A10,,0,52.419885,4.906972
10,D10,,Li,315.0,6.0,A1,,0,52.341026,4.984265
11,D11,,Re,135.0,6.0,A1,,0,52.337983,4.988107
12,D12,,Li,270.0,9.0,A1,,0,52.332428,5.024365
13,D20,,,0.0,,,,0,52.316672,4.919081
14,D21,,Li,0.0,36.0,A2,,0,52.283955,4.950138
15,D22,,Li,0.0,38.0,A2,,0,52.271721,4.959247
16,D23,,Re,135.0,33.0,A2,,0,52.310611,4.925166
17,D_247439L,,,0.0,,,,0,52.51101,5.045037
18,D29,,Re,0.0,5.0,A5,,0,52.335787,4.734707
19,D38,,Li,135.0,41.0,A9,,0,52.370013,4.715409
20,D40,,,0.0,,,,0,52.338186,4.831249
21,D41,,Li,45.0,6.0,A4,,0,52.322566,4.763035
22,D42,,Re,225.0,2.0,A4,,0,52.336131,4.807522
23,D44,,Li,45.0,12.0,A4,,0,52.277417,4.711295
24,D80,,,0.0,,,,0,52.437464,4.861658
25,D80a,,Li,135.0,4.0,A8,,0,52.447273,4.84907
26,D90,,Li,45.0,7.0,A9,,0,52.314759,4.990882
27,D93,,Re,225.0,10.0,A9,,0,52.300702,4.949929
28,D95,,Li,135.0,35.0,A9,,0,52.339806,4.773534
29,D96,,Re,315.0,30.0,A9,,0,52.307186,4.829263
30,dBD1,SD147,,45.0,,,,0,52.373853,4.920447
31,dBD101,,Li,270.0,9.0,A1,,0,52.332105,5.030192
32,dBD102,,Li,0.0,33.0,A2,,0,52.312939,4.923045
33,dBD103,,Li,0.0,37.0,A2,,0,52.276126,4.956588
34,dBD104,,,135.0,2.0,A8,Mb,0,52.435742,4.863481
35,dBD106,,Re,225.0,12.0,A10,,0,52.3405,4.952413
36,dBD119,,Re,315.0,38.0,A9,A5,0,52.352826,4.747418
